Field(Oe), Temperature(K), Resisitivity(Ohm), Capacitance(pF), Loss(nS), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
89588.664, 270.0004, 59.3483810,  4.20425     ,  0.00104     , 31, 359, 1281, 297, 1968
89999.078, 269.9974, 59.3528633,  4.20429     ,  0.00091     , 47, 360, 1297, 250, 1954
89966.391, 269.9913, 59.3505974,  4.20442     ,  0.00090     , 203, 172, 1328, 282, 1985
89393.227, 269.9979, 59.3530922,  4.20450     ,  0.00098     , 31, 297, 1281, 234, 1843
88865.930, 270.0029, 59.3461151,  4.20453     ,  0.00088     , 31, 406, 1281, 219, 1937
88476.258, 270.0044, 59.3472481,  4.20458     ,  0.00092     , 78, 110, 1281, 297, 1766
87975.953, 270.0059, 59.3482666,  4.20465     ,  0.00088     , 31, 422, 1282, 250, 2000
87433.453, 270.0072, 59.3458862,  4.20467     ,  0.00088     , 32, 328, 1281, 281, 1922
87066.398, 270.0063, 59.3453178,  4.20476     ,  0.00101     , 32, 78, 1281, 265, 1672
86567.805, 270.0047, 59.3466797,  4.20480     ,  0.00081     , 32, 406, 1281, 266, 1985
86046.594, 270.0007, 59.3463402,  4.20485     ,  0.00097     , 47, 406, 1282, 203, 1938
85520.258, 270.0018, 59.3452034,  4.20491     ,  0.00101     , 62, 125, 1281, 282, 1750
85181.906, 270.0016, 59.3474731,  4.20496     ,  0.00096     , 47, 125, 1281, 329, 1782
84684.070, 270.0004, 59.3473587,  4.20504     ,  0.00082     , 31, -59594, 1282, 218, -58063
84156.023, 269.9990, 59.3471336,  4.20508     ,  0.00093     , 93, 78, 1282, 281, 1734
83659.898, 269.9985, 59.3433914,  4.20514     ,  0.00093     , 94, 344, 1281, 250, 1969
83138.500, 270.0014, 59.3460007,  4.20521     ,  0.00094     , 32, 78, 1281, 328, 1719
82794.641, 270.0090, 59.3462296,  4.20524     ,  0.00095     , 110, 172, 1328, 359, 1969
82273.242, 270.0067, 59.3448639,  4.20530     ,  0.00100     , 78, 78, 1281, 281, 1718
81798.023, 270.0035, 59.3470192,  4.20537     ,  0.00095     , 32, 390, 1282, 281, 1985
81277.008, 270.0012, 59.3511505,  4.20542     ,  0.00096     , 31, 78, 1281, 328, 1718
80772.719, 269.9988, 59.3510361,  4.20549     ,  0.00093     , 31, 407, 1296, 219, 1953
80253.406, 270.0000, 59.3516006,  4.20555     ,  0.00092     , 78, 203, 1282, 390, 1953
78888.602, 269.9989, 59.3522835,  4.20575     ,  0.00084     , 62, 235, 1281, 281, 1859
78391.539, 269.9988, 59.3526230,  4.20579     ,  0.00098     , 47, 406, 1281, 282, 2016
77870.703, 270.0023, 59.3526230,  4.20584     ,  0.00088     , 32, 78, 1281, 234, 1625
77527.039, 270.0006, 59.3509216,  4.20590     ,  0.00083     , 63, 125, 1281, -59609, -58140
77029.211, 270.0008, 59.3510361,  4.20596     ,  0.00102     , 47, 391, 1328, 265, 2031
76507.047, 270.0034, 59.3519402,  4.20603     ,  0.00090     , 62, 359, 1282, 234, 1937
75980.516, 270.0002, 59.3521690,  4.20609     ,  0.00102     , 31, 94, 1281, 219, 1625
75481.930, 269.9922, 59.3514900,  4.20615     ,  0.00096     , 62, 282, 1281, 266, 1891
74985.047, 269.9977, 59.3508110,  4.20623     ,  0.00103     , 93, 78, 1282, 328, 1781
74639.859, 269.9967, 59.3514900,  4.20627     ,  0.00095     , 125, 62, 1282, 297, 1766
74141.070, 269.9995, 59.3508034,  4.20633     ,  0.00101     , 31, 78, 1281, 313, 1703
73642.867, 270.0021, 59.3509140,  4.20640     ,  0.00085     , 63, 344, 1281, 297, 1985
73124.133, 270.0027, 59.3531799,  4.20647     ,  0.00090     , 63, 406, 1281, 203, 1969
72734.266, 270.0026, 59.3510284,  4.20651     ,  0.00090     , 31, 172, 1281, 344, 1828
72214.578, 270.0021, 59.3506889,  4.20659     ,  0.00095     , 31, 312, 1328, 235, 1906
71710.477, 270.0038, 59.3527260,  4.20665     ,  0.00095     , 47, 313, 1281, 281, 1922
71168.359, 270.0022, 59.3520470,  4.20671     ,  0.00090     , 31, 312, 1282, 234, 1859
70801.500, 270.0009, 59.3517075,  4.20678     ,  0.00089     , 47, 156, 1282, 296, 1781
70303.672, 269.9998, 59.3521614,  4.20684     ,  0.00101     , 62, 359, 1282, 234, 1937
69781.891, 270.0002, 59.3535194,  4.20693     ,  0.00088     , 31, 79, 1281, 297, 1688
69283.867, 270.0002, 59.3513680,  4.20699     ,  0.00103     , 47, 359, 1281, 360, 2047
68896.102, 270.0009, 59.3525009,  4.20704     ,  0.00098     , 31, 406, 1281, 282, 2000
68353.031, 270.0002, 59.3508034,  4.20710     ,  0.00081     , 31, 360, 1281, 219, 1891
67846.836, 270.0018, 59.3537445,  4.20719     ,  0.00088     , 31, 157, 1281, 250, 1719
67348.820, 270.0019, 59.3528404,  4.20721     ,  0.00100     , 32, 171, 1282, 265, 1750
66990.516, 270.0006, 59.3486862,  4.20728     ,  0.00096     , 46, 125, 1282, 312, 1765
66483.367, 270.0011, 59.3488007,  4.20735     ,  0.00088     , 31, 375, 1281, 235, 1922
65963.492, 269.9997, 59.3481216,  4.20745     ,  0.00098     , 31, 406, 1281, 282, 2000
